statement_id,statement
S001,"All people who regularly drink coffee are dependent on caffeine. (variable1 is ""regularly drink coffee"" and variable2 is ""dependent on caffeine"")"
S002,"People either regularly drink coffee or joke about being addicted to caffeine. (variable1 is ""regularly drink coffee"" and variable2 is ""joke about being addicted to caffeine"")"
S003,"No one who jokes about being addicted to caffeine is unaware that caffeine is a drug. (variable1 is ""jokes about being addicted to caffeine"" and variable2 is ""unaware that caffeine is a drug"")"
S004,"Rina is either a student and unaware that caffeine is a drug, or neither a student nor unaware that caffeine is a drug. (variable1 is ""is a student"" and variable2 is ""unaware that caffeine is a drug"")"
S005,"If Rina is not a person dependent on caffeine and a student, then Rina is either a person dependent on caffeine and a student, or neither a person dependent on caffeine nor a student. (variable1 is ""dependent on caffeine"" and variable2 is ""a student"")"
S006,"Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music. (variable1 is ""Czech"" and variable2 is ""choral conductor"" and variable3 is ""specialized in Renaissance music"" and variable4 is ""specialized in Baroque music"")"
S007,"Any choral conductor is a musician. (variable1 is ""choral conductor"" and variable2 is ""a musician"")"
S008,"Some musicians love music. (variable1 is ""a musician"" and variable2 is ""love music"")"
S009,"Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant. (variable1 is ""a book"" and variable2 is ""authored by Miroslav Venhoda"" and variable3 is ""published in 1946"")"
S010,"All eels are fish. (variable1 is ""an eel"" and variable2 is ""a fish"")"
S011,"No fish are plants. (variable1 is ""a fish"" and variable2 is ""a plant"")"
S012,"A thing is either a plant or animal. (variable1 is ""a plant"" and variable2 is ""an animal"")"
S013,"Nothing that breathes is paper. (variable1 is ""breathes"" and variable2 is ""paper"")"
S014,"All animals breathe. (variable1 is ""an animal"" and variable2 is ""breathes"")"
S015,"If a sea eel is either an eel or a plant, then a sea eel is an eel or an animal. (variable1 is ""an eel"" and variable2 is ""a plant"" and variable3 is ""an animal"")"
S016,"The Blake McFall Company Building is a commercial warehouse listed on the National Register of Historic Places. (variable1 is ""the Blake McFall Company Building"" and variable2 is ""a commercial warehouse listed on the National Register of Historic Places"")"
S017,"The Blake McFall Company Building was added to the National Register of Historic Places in 1990. (variable1 is ""the Blake McFall Company Building"" and variable2 is ""added to the National Register of Historic Places in 1990"")"
S018,"The Emmet Building is a five-story building in Portland, Oregon. (variable1 is ""the Emmet Building"" and variable2 is ""a building"" and variable3 is ""five-story"" and variable4 is ""located in Portland"")"
S019,"The Emmet Building was built in 1915. (variable1 is ""the Emmet Building"" and variable2 is ""built in 1915"")"
S020,"The Emmet Building is another name for the Blake McFall Company Building. (variable1 is ""the Emmet Building"" and variable2 is ""the Blake McFall Company Building"")"
S021,"John works at the Emmet Building. (variable1 is ""the Emmet Building"" and variable2 is ""John works at"")"
S022,"William Dickinson was a British politician who sat in the House of Commons (variable1 is ""a British politician"" and variable2 is ""sat in the House of Commons"")"
