commodity_name,factor_id
"Crude oil, Brent",F08
Maize,F22
Palm oil,F02
"Coffee, Robusta",F02
Lead,F21
Groundnut oil,F02
TSP,F12
Copper,F12
Nickel,F02
"Wheat, U.S., SRW",F11
"Crude oil, average",F12
"Tea, Mombasa",F02
"Tea, Colombo",F02
"Crude oil, Brent",F12
Cocoa,F21
Iron ore,F12
Potassium chloride,F21
Zinc,F02
"Sawnwood, S.E. Asia",F11
"Natural gas, Index",F21
"Coffee, Arabica",F21
"Tea, Kolkata",F21
Lead,F12
Coconut oil,F12
"Rice, Thailand 25%",F12
"Sawnwood, Africa",F21
"Crude oil, WTI",F21
Tin,F21
"Crude oil, WTI",F08
Soybeans,F02
Aluminum,F02
"Rubber, TSR20",F21
Barley,F12
Potassium chloride,F12
Soybean oil,F24
Groundnuts,F12
DAP,F02
"Natural gas, Index",F12
"Sawnwood, S.E. Asia",F21
"Rice, Thailand 5%",F12
TSP,F21
Copper,F21
"Rubber, RSS3",F21
"Sugar, U.S.",F02
Tin,F12
Gold,F19
"Tea, average",F21
Maize,F02
Gold,F21
"Coffee, Robusta",F21
"Sawnwood, Africa",F11
Oranges,F02
Nickel,F21
"Tea, Mombasa",F21
"Sugar, World",F02
Palmkernel oil,F02
"Tea, Colombo",F21
Zinc,F21
"Natural gas, Europe",F12
"Urea, E. Europe",F21
"Wheat, U.S., HRW",F11
Aluminum,F21
"Logs, S.E. Asia",F11
Zinc,F12
"Liquefied natural gas, Japan",F21
"Liquefied natural gas, Japan",F08
Nickel,F11
"Urea, E. Europe",F12
Fish meal,F12
Phosphate rock,F02
"Rice, Thailand 25%",F22
Aluminum,F12
"Logs, S.E. Asia",F21
Soybean oil,F02
"Liquefied natural gas, Japan",F12
Barley,F22
DAP,F12
Potassium chloride,F02
"Natural gas, Europe",F21
"Natural gas, Europe",F08
Platinum,F19
Soybean meal,F02
"Wheat, U.S., SRW",F02
Platinum,F21
Soybean meal,F24
Fish meal,F02
Maize,F12
Silver,F19
Palm oil,F24
"Sugar, EU",F02
"Crude oil, WTI",F12
TSP,F02
Copper,F02
Silver,F21
"Tea, average",F02
Iron ore,F02
Plywood,F21
DAP,F21
"Crude oil, Dubai",F21
"Crude oil, Dubai",F08
Coconut oil,F02
"Rice, Thailand 25%",F02
Phosphate rock,F21
Soybeans,F24
Cocoa,F02
Barley,F02
Groundnuts,F02
"Crude oil, Dubai",F12
"Wheat, U.S., HRW",F02
"Logs, Africa",F11
"Coffee, Arabica",F02
"Tea, Kolkata",F02
"Rice, Thailand 5%",F02
Cotton,F21
Phosphate rock,F12
"Rice, Thailand 5%",F22
"Urea, E. Europe",F02
Tin,F02
"Natural gas, U.S.",F21
"Natural gas, U.S.",F08
Plywood,F11
"Logs, Africa",F21
Shrimp,F02
"Crude oil, average",F21
"Crude oil, average",F08
"Natural gas, U.S.",F12
"Crude oil, Brent",F21
Palmkernel oil,F24
Iron ore,F21
