event_id,year,event_description
E01,2020,On March 19 the World Health Organization announced that COVID-19 was a global pandemic the first pandemic since the 2009 outbreak of H1N1 swine flu
E02,2020,Many countries have implemented wide-ranging travel bans and stay-at-home orders
E03,2021,Cold weather in large markets including the United States Europe Asia and especially Japan
E04,2021,La Nina in South America
E05,2021,The African Swine Fever in China
E06,2021,Unusually high summer temperatures in some countries droughts and low wind speeds
E07,2021,Hurricane Ida in the U.S.
E08,2022,The war in Ukraine
E09,2022,Several countries including Canada the United Kingdom and the United States announced sanctions on imports of Russian energy
E10,2022,Continued pandemic restrictions in several cities in China
E11,2023,The non-renewal of the Black Sea Grain Initiative
E12,2023,Indias export ban of non-basmati rice
E13,2023,The emerging El Nino
E14,2023,Chinas ongoing fertilizer export restrictions
E15,2024,The announcement of economic stimulus measures in China
E16,2024,The global average temperature over the last 12 months exceeded pre-industrial levels by more than 1.5 degrees Celsius surpassing the threshold that countries committed to stay below under the 2015 Paris Agreement
E17,2025,The Russian Federations invasion of Ukraine
E18,2025,The eruption of conflict in the Middle East
E19,2025,Adverse weather in West Africa and in Brazil
E20,2025,A sharp increase in global trade tensions
E21,2025,In China the worlds largest auto market more than 40 percent of new cars purchased in 2024 are estimated to have been battery-powered or hybrid vehicles almost three times the share in 2021
E22,2025,Over 2022-24 the number of new restrictions implemented on trade in energy metals and food commodities was more than ten times the corresponding number in the three years before the COVID-19 pandemic
E23,2025,The rapid expansion of artificial intelligence and growing electricity demand to power data centers
E24,2025,Extreme weather from a stronger-than-expected La Nina cycle

