claim_id,claim
1,"0-dimensional biomaterials show inductive properties."
3,"1000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants."
5,"1/2000 in UK have abnormal PrP positivity."
13,"5% of perinatal mortality is due to low birth weight."
36,"A deficiency of vitamin B12 increases blood levels of homocysteine."
42,"A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects."
48,"A total of 1000 people in the UK are asymptomatic carriers of vCJD infection."
49,"ADAR1 binds to Dicer to cleave pre-miRNA."
50,"AIRE is expressed in some skin tumors."
51,"ALDH1 expression is associated with better breast cancer outcomes."
53,"ALDH1 expression is associated with poorer prognosis in breast cancer."
54,"AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs."
56,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration."
57,"APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation delaying GABA neuron degeneration."
70,"Activation of PPM1D suppresses p53 function."
72,"Activator-inhibitor pairs are provided dorsally by Admpchordin."
75,"Active H. pylori urease has a polymeric structure that compromises two subunits UreA and UreB."
94,"Albendazole is used to treat lymphatic filariasis."
99,"Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding."
100,"All hematopoietic stem cells segregate their chromosomes randomly."
113,"Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency."
115,"Anthrax spores can be disposed of easily after they are dispersed."
118,"Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile"
124,"Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata."
127,"Arginine 90 in p150n is important for interaction with EB1."
128,"Arterioles have a larger lumen diameter than venules."
129,"Articles published in open access format are less likely to be cited than traditional journals."
130,"Articles published in open access format are more likely to be cited than traditional journals."
132,"Aspirin inhibits the production of PGE2."
133,"Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3 4-biphosphate and the activation of the nonreceptor tyrosine kinase Src."
